question,answer,random_wrong,decieving_wrong,identical_right,similar_right
why is the giant otter becoming increasingly rare?,"poaching, habitat loss, and toxins in gold mining.  ",zpmljwcvohofsllrulzodzkxaxv,"the answer to the question ""poaching, habitat loss, and toxins in gold mining.  "" is ""A cat is a duck"".","poaching, habitat loss, and toxins in gold mining.  ","I think the answer is ""poaching, habitat loss, and toxins in gold mining.  """
does the giant otter live in south america?,yes,cknmsfebjfmhacv,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
where is the berliner dom located?,on the spree island,jhyttuyh,"the answer to the question ""on the spree island"" is ""A cat is a duck"".",on the spree island,"I think the answer is ""on the spree island"""
did the modern hi-hat evolve from clash cymbals?,yes,cklcubszdatzzuwdqddlpyhgo,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is london the capital of the united kingdom?,yes,eeazcydqnridodpx,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
are fennec foxes endangered?,no,ekoljdjsmxirkhihgamyklxwzp,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
do chinese and japanese have spaces between words?,"no, chinese and japanese do not have spaces between words.",uxpiyvzqxzfdpatianrbdr,"the answer to the question ""no, chinese and japanese do not have spaces between words."" is ""A cat is a duck"".","no, chinese and japanese do not have spaces between words.","I think the answer is ""no, chinese and japanese do not have spaces between words."""
can polar bears be seen under infrared photography?,only their breath and muzzles can be easily seen,tknsupvnxcwunuptfdwju,"the answer to the question ""only their breath and muzzles can be easily seen"" is ""A cat is a duck"".",only their breath and muzzles can be easily seen,"I think the answer is ""only their breath and muzzles can be easily seen"""
what is an economic use of a duck?,meat,wszlfnhqwlyuyebq,"the answer to the question ""meat"" is ""A cat is a duck"".",meat,"I think the answer is ""meat"""
give an example of the ten beta world cities. ,san trancisco,qukrexaqde,"the answer to the question ""san trancisco"" is ""A cat is a duck"".",san trancisco,"I think the answer is ""san trancisco"""
what trail did lincoln use a farmers' almanac in? ,null,xnyhxgsshixrkrpprcekop,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
was michael faraday an english chemist?,yes,ljojgzfo,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when did organized agriculture appear in the nile valley?,about 6000 bc,zrolqcqpts,"the answer to the question ""about 6000 bc"" is ""A cat is a duck"".",about 6000 bc,"I think the answer is ""about 6000 bc"""
"what does the name ""kuala lumpur"" mean?",null,pqzulfcptwvcdjwb,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what are the most significant foreign contributors to turkish vocabulary?,"among the most significant foreign contributors to turkish vocabulary are arabic, french, persian, italian, english, and greek. ",xzyrdkehkeqrzfitfntcoikeirarmg,"the answer to the question ""among the most significant foreign contributors to turkish vocabulary are arabic, french, persian, italian, english, and greek. "" is ""A cat is a duck"".","among the most significant foreign contributors to turkish vocabulary are arabic, french, persian, italian, english, and greek. ","I think the answer is ""among the most significant foreign contributors to turkish vocabulary are arabic, french, persian, italian, english, and greek. """
are dragonflies capable of walking?,null,ufheodyquckkpaopsuv,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
hassan massoudy is a master of what genre?,arabic calligraphy,tgebdyopw,"the answer to the question ""arabic calligraphy"" is ""A cat is a duck"".",arabic calligraphy,"I think the answer is ""arabic calligraphy"""
why is the giant panda an endangered species?,it is threatened by continued habitat loss and by a very low birthrate,ushcregwmh,"the answer to the question ""it is threatened by continued habitat loss and by a very low birthrate"" is ""A cat is a duck"".",it is threatened by continued habitat loss and by a very low birthrate,"I think the answer is ""it is threatened by continued habitat loss and by a very low birthrate"""
did nikola tesla die alone?,yes,ogcqqltwfzh,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is it true that france signed the european charter for regional languages?,yes,pplajsdhxvisvupyzejcfoekuq,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
are the prefixes en- and em- always nasalized ?,yes,nzfnpgufodjuceukhovslknla,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is the primary item in an otter's diet?,fish,hhtnhweaquptxsnufahjfqcrkrctem,"the answer to the question ""fish"" is ""A cat is a duck"".",fish,"I think the answer is ""fish"""
is liechtenstein heavily urbanized?,no.,zxeorswmkccx,"the answer to the question ""no."" is ""A cat is a duck"".",no.,"I think the answer is ""no."""
are the most active in damascus and cairo?,(bad question),ynpaxgsowkwdiskouukrjr,"the answer to the question ""(bad question)"" is ""A cat is a duck"".",(bad question),"I think the answer is ""(bad question)"""
what countries did james vi of scotland unite?,england and scotland,bondleqbmie,"the answer to the question ""england and scotland"" is ""A cat is a duck"".",england and scotland,"I think the answer is ""england and scotland"""
are there many systems of romanization for the chinese languages due to the chinese`s own lack of phonetic transcription until modern times ?,null,frqqxknwutanp,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
where was the largest elephant ever recorded shot?,angola,asgtftmfukainomqbeoabekci,"the answer to the question ""angola"" is ""A cat is a duck"".",angola,"I think the answer is ""angola"""
what are most electric guitar bodies made of?,wood,cpkihsztrfvmsvolanwxt,"the answer to the question ""wood"" is ""A cat is a duck"".",wood,"I think the answer is ""wood"""
when did he marry louise dã©sirã©e lorieux?,1890,gtjskekgguxivnfijmc,"the answer to the question ""1890"" is ""A cat is a duck"".",1890,"I think the answer is ""1890"""
how many square kilometres of continental land is uruguay?,176.215 kmï¿½ï¿½ ,lxpmxewjwegr,"the answer to the question ""176.215 kmï¿½ï¿½ "" is ""A cat is a duck"".",176.215 kmï¿½ï¿½ ,"I think the answer is ""176.215 kmï¿½ï¿½ """
is ford related with the assassination of john f. kennedy?,yes,xrbqspqygygvnvgucagctw,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what language besides malay is in the austronesia language family?,null,oxtfindtlwmwjaimyxh,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is the nauen plain north of berlin?,"no, the nauen plain stretches to the west of berlin.",orsqptxulxvyqok,"the answer to the question ""no, the nauen plain stretches to the west of berlin."" is ""A cat is a duck"".","no, the nauen plain stretches to the west of berlin.","I think the answer is ""no, the nauen plain stretches to the west of berlin."""
how many verb paradigms are there in korean?,null,bqptueilpnvwjhgyokmb,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what is northern california's most widely circulated newspaper,san francisco chronicle,fpszkknoslgkw,"the answer to the question ""san francisco chronicle"" is ""A cat is a duck"".",san francisco chronicle,"I think the answer is ""san francisco chronicle"""
was lincoln chosen as a presidential candidate in 1860?,yes,ympxeurxeqcefnbonstythgo,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
why is arabic related to islam?,null,jxvjbommqsqgdxuhqr,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is the violin shaped like an hourglass?,yes.,fftpwahwtx,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
"are vowels never reduced , regardless of stress ?",yes,riyusjjvdnuudhdeeifg,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
was nikola tesla's mother illiterate?,nikola tesla's mother never learned to read.,qobxeeona,"the answer to the question ""nikola tesla's mother never learned to read."" is ""A cat is a duck"".",nikola tesla's mother never learned to read.,"I think the answer is ""nikola tesla's mother never learned to read."""
how many countries in europe are bigger than romania?  ,eleven,ymfxrcoyxryqduplekwydczegwaktu,"the answer to the question ""eleven"" is ""A cat is a duck"".",eleven,"I think the answer is ""eleven"""
do male giraffes have larger horns than female giraffes?,yes,gwgcbopncgvseydgfrwwvlm,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how long does it take for the panda cubs skin to turn gray?,one to two weeks,hdipbfrttiesouvmmiyqugn,"the answer to the question ""one to two weeks"" is ""A cat is a duck"".",one to two weeks,"I think the answer is ""one to two weeks"""
which constellation is said to resemble a lyre shape?,null,rpqokcfcdbkmaswpqqhjs,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is matti vanhanen the prime minister of finland?,yes,qdyhipvicxpntgmmj,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
"why is vattenfall shifting towards reliance on cleaner, renewable energy sources?","because burning lignite produces harmful emissions, vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources.",kircganepthgkxdqidzcunlbmzdfb,"the answer to the question ""because burning lignite produces harmful emissions, vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources."" is ""A cat is a duck"".","because burning lignite produces harmful emissions, vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources.","I think the answer is ""because burning lignite produces harmful emissions, vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources."""
does vietnamese have a large number of vowels?,"yes, vietnamese has a comparatively large number of vowels.",shqevnrosohz,"the answer to the question ""yes, vietnamese has a comparatively large number of vowels."" is ""A cat is a duck"".","yes, vietnamese has a comparatively large number of vowels.","I think the answer is ""yes, vietnamese has a comparatively large number of vowels."""
what is the official language of north korea?,korean,ggxzdiiirnwfcatzektlfupxqi,"the answer to the question ""korean"" is ""A cat is a duck"".",korean,"I think the answer is ""korean"""
null,null,tkibpgtnnxtpuavqoyaylrkqm,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is it true that volta entered retirement in spain?,null,fxrcxesjflmacgpsyuvvvhmu,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
who heavily influenced the architecture and culture of montevideo?,european immigrants.,ouddunkfgkhqknfgg,"the answer to the question ""european immigrants."" is ""A cat is a duck"".",european immigrants.,"I think the answer is ""european immigrants."""
have managed populations of european honey bees experienced substantial declines?,yes,dkbdtshjvxxzcuoqrtxs,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
was tesla regarded as a mad scientist?,yes,waatchlkcvifrhvxqilxxn,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how many different names did chinese writings give to the panda?,20,utmlsudaokggytwcwjaegchcqnzbxd,"the answer to the question ""20"" is ""A cat is a duck"".",20,"I think the answer is ""20"""
is the wisma building the tallest building in indonesia?,"yes,",ypiwgqztqcm,"the answer to the question ""yes,"" is ""A cat is a duck"".","yes,","I think the answer is ""yes,"""
where did the xylophone originate?,indonesia,zptpezjwtzzxohnhifqxhdcdjoeq,"the answer to the question ""indonesia"" is ""A cat is a duck"".",indonesia,"I think the answer is ""indonesia"""
in what year did henri becquerel die?,"august 24, 1908",ycnjqld,"the answer to the question ""august 24, 1908"" is ""A cat is a duck"".","august 24, 1908","I think the answer is ""august 24, 1908"""
what is the poulation of egypt?,more than 78 million,nrydzwhlwxdbmykichwt,"the answer to the question ""more than 78 million"" is ""A cat is a duck"".",more than 78 million,"I think the answer is ""more than 78 million"""
is swahili a bantu language?,"yes, swahili is a bantu language.",cxdkekuhqolzmvf,"the answer to the question ""yes, swahili is a bantu language."" is ""A cat is a duck"".","yes, swahili is a bantu language.","I think the answer is ""yes, swahili is a bantu language."""
"is watt commemorated by statuary in george square, glasgow and princes street, edinburgh?",yes.,tzsdkamumldqznvemcdflw,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
was volta taught in public schools?,yes.,owuvbstposbfxsxcgixzxpubwryv,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
are western flutes simpler than indian flutes?,no,rldzqspnnpzjgnnjcrdwsoqifjqwkv,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
are termites actually more closely related to cockroaches as well as mantids?,"yes, termites are actually more closely related to cockroaches as well as mantids.",uuxwbwrzoazhngkdazbefar,"the answer to the question ""yes, termites are actually more closely related to cockroaches as well as mantids."" is ""A cat is a duck"".","yes, termites are actually more closely related to cockroaches as well as mantids.","I think the answer is ""yes, termites are actually more closely related to cockroaches as well as mantids."""
what makes a trumpet fully chromatic?,able to play all twelve pitches of western music,bluckzygirpft,"the answer to the question ""able to play all twelve pitches of western music"" is ""A cat is a duck"".",able to play all twelve pitches of western music,"I think the answer is ""able to play all twelve pitches of western music"""
what is the largest living species of penguin?,the emperor penguin (aptenodytes forsteri),zgafuyphixqzc,"the answer to the question ""the emperor penguin (aptenodytes forsteri)"" is ""A cat is a duck"".",the emperor penguin (aptenodytes forsteri),"I think the answer is ""the emperor penguin (aptenodytes forsteri)"""
how old was anders celsius when he died?,42,zfpiudzhyhshoakiixu,"the answer to the question ""42"" is ""A cat is a duck"".",42,"I think the answer is ""42"""
are the z-holes used as access points to the interior of the cello? ,no,vpyvncmcbwlz,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
are there two common  word  orders?,yes,sfvmapryeepadmwxzgbsiraby,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is the name of young swans?,cygnets,daqhzkuywehylmsaawpz,"the answer to the question ""cygnets"" is ""A cat is a duck"".",cygnets,"I think the answer is ""cygnets"""
what was the consitution act formerly called?,null,bmromttduyidskgkljgmf,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
are otters playful animals?,yes,shvdjyfsnrcofdkigaxajbsekwgg,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is the tiger a member of the felidar family?,no.,lwhznzskqdder,"the answer to the question ""no."" is ""A cat is a duck"".",no.,"I think the answer is ""no."""
what notable people have been named santiago?,"benito santiago, hugo santiago, joey santiago, liliana santiago, rafael santiago maria, santiago caballero, santiago cabrera; james, son of zebedee",ekmddwnwdrekalgewahdlr,"the answer to the question ""benito santiago, hugo santiago, joey santiago, liliana santiago, rafael santiago maria, santiago caballero, santiago cabrera; james, son of zebedee"" is ""A cat is a duck"".","benito santiago, hugo santiago, joey santiago, liliana santiago, rafael santiago maria, santiago caballero, santiago cabrera; james, son of zebedee","I think the answer is ""benito santiago, hugo santiago, joey santiago, liliana santiago, rafael santiago maria, santiago caballero, santiago cabrera; james, son of zebedee"""
ultraviolet vision was first discovered in ants by sir who in 1881?,john lubbok,tatmjyutdqdc,"the answer to the question ""john lubbok"" is ""A cat is a duck"".",john lubbok,"I think the answer is ""john lubbok"""
is antwerp a city?,yes,xcdovpmrfgdtxbphsc,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how long has the basic design of the drum remained unchanged?,thousands of years,yesnrkuhwcyiyshfxdpovtgd,"the answer to the question ""thousands of years"" is ""A cat is a duck"".",thousands of years,"I think the answer is ""thousands of years"""
whose ideas inspired charles-augustin de coulomb's experiments on the resistance of masonries?,he carried out several experiments on the resistance of masonries which were inspired by the ideas of pieter van musschenbroek on friction.,kufrxzfhcxk,"the answer to the question ""he carried out several experiments on the resistance of masonries which were inspired by the ideas of pieter van musschenbroek on friction."" is ""A cat is a duck"".",he carried out several experiments on the resistance of masonries which were inspired by the ideas of pieter van musschenbroek on friction.,"I think the answer is ""he carried out several experiments on the resistance of masonries which were inspired by the ideas of pieter van musschenbroek on friction."""
what is the smallest suborder of turtles?,pleurodira,jkeguaun,"the answer to the question ""pleurodira"" is ""A cat is a duck"".",pleurodira,"I think the answer is ""pleurodira"""
does a male leopard weigh more than a female leopard?,yes,agfvdionkcmoaghhuoftduofossmf,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is it widely considered the most secular nation in latin america ?,yes,nkizuftvnkmfudyvjo,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how many species of penguins are there?,between 17 and 20 living species,nvuloyxmvlwb,"the answer to the question ""between 17 and 20 living species"" is ""A cat is a duck"".",between 17 and 20 living species,"I think the answer is ""between 17 and 20 living species"""
do pandas hibernate?,no,vxitcfafqtdhfjtvhdvfevccyluc,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
is it true that adams had spent some time as the ambassador?,yes,kmntyyfvfdfoxwk,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what insulate it against the cold?,its think blubber and fur.,euszjvffkqs,"the answer to the question ""its think blubber and fur."" is ""A cat is a duck"".",its think blubber and fur.,"I think the answer is ""its think blubber and fur."""
when did adams graduate from college?,1755,mwjgdpatp,"the answer to the question ""1755"" is ""A cat is a duck"".",1755,"I think the answer is ""1755"""
do penguins have a better than average sense of hearing for birds?,no,afehivcvxkwpywnpqfvwcpjmibfv,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
the celsius crater on the moon is what?,named after him,dfcohqtwvxjdjqbepawncj,"the answer to the question ""named after him"" is ""A cat is a duck"".",named after him,"I think the answer is ""named after him"""
who graduated in ecclesiastical law at the early age of 20 and began to practice?,blah,tfxogtqky,"the answer to the question ""blah"" is ""A cat is a duck"".",blah,"I think the answer is ""blah"""
has tusklessness become a rare abnormality?,no,gnrafucxwg,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
where do joeys complete postnatal development?,marsupium,mwowalsakqscenn,"the answer to the question ""marsupium"" is ""A cat is a duck"".",marsupium,"I think the answer is ""marsupium"""
is one of the parts of a cymbal called a disc?,no,ivygdaer,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
is in the 1996 movie surviving picasso picasso played by actor anthony hopkins?,yes.,vhldonqmropamamrifs,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
what was the faraday effect first called?,diamagnetism,lxsgjwxavwcnlnpiqtbzzah,"the answer to the question ""diamagnetism"" is ""A cat is a duck"".",diamagnetism,"I think the answer is ""diamagnetism"""
the ideas of the enlightenment shaped the development of what?,"the city, lima",vqzwppnfnkgurwkrghfqq,"the answer to the question ""the city, lima"" is ""A cat is a duck"".","the city, lima","I think the answer is ""the city, lima"""
can an elephant kill a rhinoceros?,yes,suttkydwlqzfczxjkakvkqyv,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
who frequented the circle of the british-australian artist john peter russell?,van gogh,tfshaxkttcqfzfxizs,"the answer to the question ""van gogh"" is ""A cat is a duck"".",van gogh,"I think the answer is ""van gogh"""
what happened in 1894?,"jean-baptiste arban published ""complete conservatory method for trumpet.""",jolgtckg,"the answer to the question ""jean-baptiste arban published ""complete conservatory method for trumpet."""" is ""A cat is a duck"".","jean-baptiste arban published ""complete conservatory method for trumpet.""","I think the answer is ""jean-baptiste arban published ""complete conservatory method for trumpet."""""
what is the world population of asian elephants?,"the world population of asian elephants â also called indian elephants or elephas maximus â is estimated to be around 60,000",cehtvppkkhznlkqrlfzzypfr,"the answer to the question ""the world population of asian elephants â also called indian elephants or elephas maximus â is estimated to be around 60,000"" is ""A cat is a duck"".","the world population of asian elephants â also called indian elephants or elephas maximus â is estimated to be around 60,000","I think the answer is ""the world population of asian elephants â also called indian elephants or elephas maximus â is estimated to be around 60,000"""
is the giant panda an endangered species?,yes,purjerhukrkaunnuxb,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is cello an abbreviation of?,violoncello,dmnncrpnymrfzszzbav,"the answer to the question ""violoncello"" is ""A cat is a duck"".",violoncello,"I think the answer is ""violoncello"""
how can beetle larvae be differentiated from other insect larvae?,"by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",awbajkkfjmpcszfrzfiedbdhnosaeg,"the answer to the question ""by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"" is ""A cat is a duck"".","by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","I think the answer is ""by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"""
does the octopus have two eyes?,"yes, the octopus has two eyes.",zwvnxfyghmsckbnqpalrvki,"the answer to the question ""yes, the octopus has two eyes."" is ""A cat is a duck"".","yes, the octopus has two eyes.","I think the answer is ""yes, the octopus has two eyes."""
what festival features fireworks  celebrating the end of the school year?,the white nights festival.,xesdqytq,"the answer to the question ""the white nights festival."" is ""A cat is a duck"".",the white nights festival.,"I think the answer is ""the white nights festival."""
what are the most common cymbals?," the most common cymbals are the hi-hats, crash, splash, ride, and china.",oadxtjnawsevvoczratckmdph,"the answer to the question "" the most common cymbals are the hi-hats, crash, splash, ride, and china."" is ""A cat is a duck""."," the most common cymbals are the hi-hats, crash, splash, ride, and china.","I think the answer is "" the most common cymbals are the hi-hats, crash, splash, ride, and china."""
was qatar university founded in 1973 ?,yes,rqusqdkbqignutismrjwepvfgjs,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what happens when the center of a cymbal is hit?,it causes a sound which is in a higher register than the rest of the symbal.,ezqrwgnwryzqpxfnbys,"the answer to the question ""it causes a sound which is in a higher register than the rest of the symbal."" is ""A cat is a duck"".",it causes a sound which is in a higher register than the rest of the symbal.,"I think the answer is ""it causes a sound which is in a higher register than the rest of the symbal."""
is golden gate park the largest city park,yes,agynwrpsfkfrbceietdezldtaa,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when was the reunification of vietnam?,null,ebqnmtjzdnmrrjrghpmltyrpbudsd,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
has the san lorenzo megaport project been completed?,no.,jrknazgpykaccaz,"the answer to the question ""no."" is ""A cat is a duck"".",no.,"I think the answer is ""no."""
which berlin building did architect norman foster remodel in the 1990s?,reichstag building,wzpvwbkscekivpjwtrv,"the answer to the question ""reichstag building"" is ""A cat is a duck"".",reichstag building,"I think the answer is ""reichstag building"""
"has an octopus a hard beak, with its mouth at the center point of the arms?",yes,adnxkvogxnsrclhnraljhgbhalrlx,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is the sustain pedal called?,damper pedal,lohlrrmp,"the answer to the question ""damper pedal"" is ""A cat is a duck"".",damper pedal,"I think the answer is ""damper pedal"""
is the leopard an agile and graceful predator?,yes,fmtsboeewwmsmagiemibobygaelj,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is volta buried in the city  of como?,yes,nkpsbpuhdbwbyvrvak,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
does montreal contain the largest church in canada?,yes,mbzfrrtmhacuil,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
where is the mouth of an octopus?,the mouth of an octopus is at the center point of the arms.,ptmilamrffgroodjkwqpvjixjoejvz,"the answer to the question ""the mouth of an octopus is at the center point of the arms."" is ""A cat is a duck"".",the mouth of an octopus is at the center point of the arms.,"I think the answer is ""the mouth of an octopus is at the center point of the arms."""
how long is an adult cougar's paw print?,4 inches,tsiaojxcuckoevrssnmxdjqmhntp,"the answer to the question ""4 inches"" is ""A cat is a duck"".",4 inches,"I think the answer is ""4 inches"""
can citizens propose changes to the constitution?,yes,zzbmqtnviogguj,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
of whose continual poor health was the cause never precisely determined?,blaise pascal,vvtluvhlrpvo,"the answer to the question ""blaise pascal"" is ""A cat is a duck"".",blaise pascal,"I think the answer is ""blaise pascal"""
do otters live in water?,yes,fhieactqvnvsthunmo,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what is the origin of the name santiago?,spanish for st. james,uowxgenbrhmlnnxqfthpgwtgoiuv,"the answer to the question ""spanish for st. james"" is ""A cat is a duck"".",spanish for st. james,"I think the answer is ""spanish for st. james"""
was the ottoman script replaced with a variant of the latin alphabet?,yes.,zizyrjkmxbywuj,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
what is the cause of local earthquakes?,it was the san andreas fault which slipped and caused the earthquakes in 1906 and 1989.,uaxqqdxdktskjnrugnka,"the answer to the question ""it was the san andreas fault which slipped and caused the earthquakes in 1906 and 1989."" is ""A cat is a duck"".",it was the san andreas fault which slipped and caused the earthquakes in 1906 and 1989.,"I think the answer is ""it was the san andreas fault which slipped and caused the earthquakes in 1906 and 1989."""
where is the national orchid garden?,null,wirledzuppu,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
is otter a kind of mammal?,yes,omltcsyvxgcnuoenwrbrx,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
when did goh chok tong succeed lee as prime minister?,null,cxlurikujtmrtvmhwrfvcbq,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
was volta an italian physicist?,yes,azcehfjnmumuquyxll,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
do open-ended flutes have brighter timbres?,yes,tgxlfgdnfquxczigqknaecoajasl,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
who manages candlestick point,the california state park system,tbtgkbonytyluqebuih,"the answer to the question ""the california state park system"" is ""A cat is a duck"".",the california state park system,"I think the answer is ""the california state park system"""
is james watt french?,"no, he was scottish.",jlcnbgwmlghgctcvhnzwknglxbyoz,"the answer to the question ""no, he was scottish."" is ""A cat is a duck"".","no, he was scottish.","I think the answer is ""no, he was scottish."""
"did ford get an award called ""congressman's congressman""?",yes,vguikqmdcgunuzheuxcijfeuygb,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
has singapore changi airport a network of 81 airlines connecting singapore to 185 cities in 58 countries ?,yes,asjcfbdkeitrzczkuxhiuu,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is one of the parts of a cymbal called a disc?,null,dewormdjvevrwnrlrku,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
are violinists and fiddlers the same thing?,yes,bzzqdvcwvaif,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
how did the supporters of henry clay feel about fillmore in 1848?,null,wtohkuejryrwyxybivvpdiumj,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what is the national language in malaysia?,null,aidksjbme,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what to be born on the fourth of july?,null,pdifqrrhnlnzoyehlzmkuksmkkn,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
can the palatal nasal occur in word initial position ( e.g ?,null,cnfyblvzytpmefbphs,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what is the name of the event that draws the worlds top riders to malaysia?,null,cwiyepwjjiokml,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
japanese borrowed a considerable number of what?,null,dnpetutvusnsix,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
"does the world conservation union consider the cougar a ""least concern"" species?","the world conservation union (iucn) currently lists the cougar as a ""least concern"" species.",zwfpcgucndnypzoc,"the answer to the question ""the world conservation union (iucn) currently lists the cougar as a ""least concern"" species."" is ""A cat is a duck"".","the world conservation union (iucn) currently lists the cougar as a ""least concern"" species.","I think the answer is ""the world conservation union (iucn) currently lists the cougar as a ""least concern"" species."""
where is this letter silent?,null,iuwfzrhontzxzfijc,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
